Entry Number,Airline Name,Country,Former Colonial Power,Settler or Non-Settler,Type of Decolonization,Year Founded,Year Ceased,Airline Lifespan,Ownership Model,Government Involvement,Fleet Size,Number of Employees,Domestic Service,Regional Service,Intercontinental Service
98,Aeromas,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1946,1949,3,,,,,1,,
99,African Air Charter,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1976,,,,,4,100,,,
100,African Lux,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1970s,,,,,,,,,
101,Agence et Messagers Aeriennes du Zaire (AMAZ),Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1960s,1970s,,,,13,,1,,
102,Air Brousse,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1955,1967,12,Private,,19,,1,,
103,Air Charter Service,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1983,,,,,11,250,1,1,
104,Air Congo/CFL Aviation,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1947,1949,2,,,4,,1,,
105,Air Congo,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1961,1971,10,Joint Venture,High,31,3357,1,1,1
106,Air Region,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990,,,,,1,,,,
107,Air Transport Office (ATO),Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1994,,,,,1,,,,
108,Air Transport Service,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1986,,,,,3,,,,
109,Air Zaire,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1971,1995,24,State-Owned,High,5,2600,1,1,1
110,BCF Aviation,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1984,,,,,1,,,,
111,Blue Airlines,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1991,,,,,2,,,,
112,Broussair,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,2,,,,
113,Cogeair,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1950s,1971,,,,,,1,,
114,Comite d'Etudes pour la Navigation Aerienne du Congo (CENAC),Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1919,1920,1,,,,,,,
115,Confrigo/Congo Frigo,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1960s,,,Private,,3,,,,
116,Express City,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,1,,,,
117,Filair,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1987,,,,,7,90,,1,
118,Fontshi Air Service,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1980s,1991,,,,3,,,,
119,Gazairways,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,,,,,
120,GLM Aviation,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1980s,,,,,,,,,
121,Guila Air,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1988,,,,,4,14,,,
122,Hoseba Airlines,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,,,,,
123,Inter-Fret Transport Aerien,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1979,1980s,,,,5,,,,
124,Katale Aero Transport,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1978,1990s,,Private,,7,,,,
125,Kinair Cargo,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1980s,,,,,2,,,,
126,Ligne Aerienne du Roi Albert (LARA),Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1920,1922,2,,,1,,1,,
127,Lukum Air Service,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1980s,,,,,5,,,,
128,Malu Aviation,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,,,,,
129,MMM Air Services,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1980s,,,,,,,,,
130,New ACS,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1983,,,,,,,,,
131,Newair Zaire,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1996,,,Joint Venture,High,,,1,,
132,Sankuru Air Service,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,,,,,
133,Scibe Airlift,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1979,,,,High,3,1000,1,1,
134,Service de Transports Aeriens Regionaux (STAR),Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1947,1949,2,Private,,6,,1,1,
135,Shabair,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1989,,,,,8,400,1,1,
136,Sobelair,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1957,1962,5,Joint Venture,,,,1,1,1
137,Societe Air Afrique,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1925,1929,4,,,,,,1,1
138,Societe Generale d'Alimentation (SGA),Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1970s,,,Private,,,,1,,
139,Societe Internationale du Commerce et Transport (SICOTRA),Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1977,,,,,,,,,
140,SODEMAZ,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1960s,1970s,,Parastatal,High,,,,,
141,Sotexki Aviation,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1975,,,Private,,1,,,,
142,Syndicat des Transports Aeriens du Katanga,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1934,1935,1,,,,,,1,
143,Syndicat National pour l'Etude des Transport Aeriens (SNETA),Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1919,1920,1,,,1,,1,,
144,Swala Airlines,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,2,,,,
145,TMK Air,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1987,,,,,3,100,1,,
146,Transair Cargo,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,5,,,,
147,Trans Service Airlift,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,4,,,1,
148,Virunga Air Charter (VAC),Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1978,,,,,,50,,,
149,Wetrafa Airlift,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,2,,1,,
150,WIGMO,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,High,,,,,
151,Wolf Aviation,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1980s,,,,,,,,,
152,Zaire Aero Services,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1970s,,,,,,,,,
153,Zaire Express,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1995,,,Private,,7,1200,1,,
154,Zairean Airlines,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1981,,,,,5,40,1,1,
155,Zaire Cargo,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,1,,1,,1
156,Zaire International Air Cargo System (ZICAS),Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1970s,,,,,1,,,,1
